# Table 9 Colours of selected additional M dwarfs
# SDSS (iz), WFCAM (ZYJHK) and 2MASS (J2,H2,K2) colours on the Vega system
# An entry with "..." denotes no colour available
# Col 1: i-z
# Col 2: Z-z
# Col 3: Z-Y
# Col 4: Y-J
# Col 5: J-H
# Col 6: H-K
# Col 7: J-J2
# Col 8: H-H2
# Col 9: K-K2
# Col 10: Absolute K-band magnitude
# Col 11: Spectral type 
# Col 12: Star name
#
  0.576   0.021   0.323   0.519   0.668   0.260  -0.034   0.020  -0.008  5.3   M1    Gl229A
    ...  -0.014   0.292   0.458   0.593   0.237  -0.040   0.020  -0.038  8.2   M3    LHS5327
  0.973   0.032   0.432   0.498   0.543   0.303  -0.037   0.026  -0.019  7.8   M3.5  GJ1001A
  0.966   0.017   0.440   0.640   0.541   0.337  -0.053   0.026  -0.025  8.1   M3.5  Gl15B
  1.147   0.023   0.432   0.492   0.514   0.316  -0.044   0.021  -0.052  8.2   M4    Gl699
  0.957   0.055   0.559   0.496   0.476   0.288  -0.040   0.028  -0.029  6.9   M4.5  Gl630.1A
  0.858   0.078   0.815   0.628   0.571   0.421  -0.040   0.027  -0.032  9.0   M5.5  GJ1002
  1.508   0.113   1.056   0.718   0.548   0.433  -0.049   0.034  -0.031  9.5   M5.5  GJ4073
  1.337   0.077   0.733   0.694   0.516   0.457  -0.048   0.031  -0.035  8.5   M5.5  GJ1245A
  1.170   0.060   0.761   0.667   0.627   0.391  -0.052   0.025  -0.024  8.4   M5.5  Gl905
  1.550   0.089   0.909   0.771   0.559   0.439  -0.050   0.029  -0.024  9.1   M6    Gl406
    ...   0.037   1.012   0.698   0.417   0.380  -0.064   0.029  -0.053  8.7   M6    LHS5328
  1.720   0.120   1.036   0.794   0.593   0.455  -0.055   0.034  -0.025  9.7   M6.5  GJ3855
  1.559   0.092   0.992   0.796   0.538   0.472  -0.065   0.037  -0.026  9.7   M7    VB8
  2.299   0.157   1.154   1.028   0.747   0.511  -0.051   0.034  -0.016  ...   M8.5  SDSSJ225529.09-003433.4
