limitingDepth,numDetections,oneSigma
18.5,38.97,14.19
18.6,45.99,15.44
18.7,54.31,16.75
18.8,64.16,18.16
18.9,75.81,19.71
19.0,89.57,21.51
19.1,105.78,23.66
19.2,124.85,26.34
19.3,147.20,29.73
19.4,173.31,34.01
19.5,203.73,39.34
19.6,239.02,45.85
19.7,279.82,53.58
19.8,326.82,62.54
19.9,380.77,72.66
20.0,442.49,83.84
20.1,512.86,95.91
20.2,592.86,108.67
20.3,683.52,121.88
20.4,786.00,135.26
20.5,901.54,148.49
20.6,1031.49,161.25
20.7,1177.31,173.20
20.8,1340.59,184.03
20.9,1523.08,193.50
21.0,1726.64,201.54
21.1,1953.33,208.36
21.2,2205.39,214.72
21.3,2485.24,222.30
21.4,2795.54,234.03
21.5,3139.20,254.38
21.6,3519.41,288.92
21.7,3939.67,343.27
21.8,4403.83,422.21
21.9,4916.14,529.77
22.0,5481.30,669.83
22.1,6104.54,846.79
22.2,6791.65,1065.96
22.3,7549.09,1333.81
22.4,8384.06,1658.05
22.5,9304.63,2047.89
22.6,10319.86,2514.14
22.7,11439.89,3069.49
22.8,12676.15,3728.73
22.9,14041.53,4509.05
23.0,15550.54,5430.41
23.1,17219.57,6515.88
23.2,19067.18,7792.17
23.3,21114.34,9290.05
23.4,23384.78,11045.03
23.5,25905.40,13097.95
23.6,28706.68,15495.83
23.7,31823.19,18292.70
23.8,35294.12,21550.64
23.9,39163.96,25340.92
24.0,43483.17,29745.39
24.1,48309.05,34857.98
24.2,53706.66,40786.47
24.3,59749.87,47654.56
24.4,66522.60,55604.18
24.5,74120.16,64798.24
24.6,82650.86,75423.72
24.7,92237.80,87695.31
24.8,103020.89,101859.54
24.9,115159.21,118199.66
