limitingDepth,numDetections,oneSigma
18.5,1.67,0.95
18.6,1.96,1.06
18.7,2.30,1.18
18.8,2.70,1.31
18.9,3.18,1.45
19.0,3.74,1.60
19.1,4.40,1.76
19.2,5.19,1.92
19.3,6.13,2.09
19.4,7.24,2.27
19.5,8.55,2.46
19.6,10.10,2.67
19.7,11.94,2.91
19.8,14.10,3.20
19.9,16.65,3.57
20.0,19.65,4.03
20.1,23.15,4.61
20.2,27.24,5.35
20.3,31.99,6.25
20.4,37.48,7.33
20.5,43.82,8.58
20.6,51.10,10.01
20.7,59.43,11.59
20.8,68.92,13.30
20.9,79.72,15.10
21.0,91.95,16.97
21.1,105.78,18.87
21.2,121.36,20.73
21.3,138.88,22.53
21.4,158.53,24.22
21.5,180.52,25.74
21.6,205.10,27.08
21.7,232.50,28.23
21.8,263.00,29.20
21.9,296.90,30.12
22.0,334.52,31.18
22.1,376.22,32.79
22.2,422.39,35.53
22.3,473.44,40.13
22.4,529.84,47.37
22.5,592.10,57.90
22.6,660.80,72.28
22.7,736.55,91.05
22.8,820.04,114.79
22.9,912.05,144.22
23.0,1013.44,180.20
23.1,1125.16,223.75
23.2,1248.29,276.12
23.3,1384.04,338.73
23.4,1533.74,413.30
23.5,1698.93,501.80
23.6,1881.33,606.54
23.7,2082.86,730.19
23.8,2305.73,875.84
23.9,2552.39,1047.09
24.0,2825.66,1248.06
24.1,3128.71,1483.50
24.2,3465.12,1758.90
24.3,3838.97,2080.56
24.4,4254.90,2455.73
24.5,4718.13,2892.73
24.6,5234.61,3401.12
24.7,5811.11,3991.85
24.8,6455.29,4677.53
24.9,7175.84,5472.59
