limitingDepth,numDetections,oneSigma
18.5,3.81,1.64
18.6,4.49,1.80
18.7,5.29,1.97
18.8,6.24,2.15
18.9,7.37,2.33
19.0,8.71,2.53
19.1,10.29,2.74
19.2,12.17,2.99
19.3,14.38,3.29
19.4,16.99,3.67
19.5,20.05,4.15
19.6,23.64,4.76
19.7,27.82,5.53
19.8,32.69,6.47
19.9,38.32,7.60
20.0,44.81,8.91
20.1,52.26,10.40
20.2,60.79,12.05
20.3,70.52,13.82
20.4,81.57,15.70
20.5,94.09,17.64
20.6,108.23,19.59
20.7,124.17,21.51
20.8,142.08,23.36
20.9,162.16,25.09
21.0,184.64,26.66
21.1,209.75,28.04
21.2,237.73,29.22
21.3,268.88,30.24
21.4,303.49,31.20
21.5,341.90,32.33
21.6,384.45,34.03
21.7,431.55,36.90
21.8,483.62,41.68
21.9,541.14,49.14
22.0,604.62,59.97
22.1,674.65,74.73
22.2,751.85,93.97
22.3,836.93,118.29
22.4,930.68,148.42
22.5,1033.96,185.24
22.6,1147.76,229.80
22.7,1273.16,283.36
22.8,1411.38,347.39
22.9,1563.82,423.63
23.0,1732.01,514.10
23.1,1917.71,621.15
23.2,2122.88,747.52
23.3,2349.77,896.37
23.4,2600.88,1071.35
23.5,2879.08,1276.69
23.6,3187.59,1517.24
23.7,3530.09,1798.61
23.8,3910.73,2127.22
23.9,4334.23,2510.47
24.0,4805.92,2956.86
24.1,5331.87,3476.15
24.2,5918.98,4079.52
24.3,6575.07,4779.83
24.4,7309.01,5591.81
24.5,8130.89,6532.37
24.6,9052.16,7620.92
24.7,10085.84,8879.72
24.8,11246.71,10334.30
24.9,12551.58,12014.02
