limitingDepth,numDetections,oneSigma
21.0,0.05,0.04
21.1,0.06,0.04
21.2,0.07,0.05
21.3,0.09,0.05
21.4,0.10,0.06
21.5,0.12,0.07
21.6,0.14,0.08
21.7,0.16,0.09
21.8,0.19,0.10
21.9,0.23,0.11
22.0,0.27,0.12
22.1,0.32,0.13
22.2,0.37,0.14
22.3,0.44,0.16
22.4,0.52,0.17
22.5,0.61,0.18
22.6,0.72,0.20
22.7,0.85,0.22
22.8,1.01,0.24
22.9,1.19,0.26
23.0,1.40,0.29
23.1,1.65,0.32
23.2,1.94,0.37
23.3,2.27,0.42
23.4,2.66,0.49
23.5,3.11,0.56
23.6,3.63,0.65
23.7,4.22,0.75
23.8,4.90,0.86
23.9,5.68,0.98
24.0,6.56,1.11
24.1,7.56,1.24
24.2,8.69,1.37
24.3,9.96,1.50
24.4,11.40,1.63
24.5,13.02,1.75
24.6,14.83,1.85
24.7,16.85,1.95
24.8,19.12,2.02
24.9,21.64,2.09
25.0,24.46,2.14
25.1,27.59,2.21
25.2,31.06,2.32
25.3,34.92,2.53
25.4,39.19,2.89
25.5,43.92,3.47
25.6,49.15,4.33
25.7,54.94,5.49
25.8,61.33,7.01
25.9,68.39,8.94
