limitingDepth,numDetections,oneSigma
21.0,4.66,0.80
21.1,5.36,0.88
21.2,6.15,0.97
21.3,7.04,1.05
21.4,8.04,1.13
21.5,9.16,1.20
21.6,10.41,1.26
21.7,11.81,1.31
21.8,13.37,1.36
21.9,15.11,1.39
22.0,17.04,1.44
22.1,19.18,1.51
22.2,21.56,1.63
22.3,24.19,1.85
22.4,27.11,2.20
22.5,30.33,2.72
22.6,33.89,3.42
22.7,37.83,4.35
22.8,42.17,5.53
22.9,46.97,6.99
23.0,52.26,8.78
23.1,58.10,10.95
23.2,64.54,13.56
23.3,71.66,16.69
23.4,79.51,20.43
23.5,88.19,24.87
23.6,97.77,30.14
23.7,108.37,36.37
23.8,120.10,43.71
23.9,133.09,52.35
24.0,147.48,62.50
24.1,163.44,74.41
24.2,181.16,88.35
24.3,200.86,104.64
