limitingDepth,numDetections,oneSigma
21.0,92.13,13.33
21.1,104.76,14.07
21.2,118.86,14.71
21.3,134.57,15.26
21.4,152.05,15.74
21.5,171.46,16.25
21.6,193.00,16.97
21.7,216.85,18.15
21.8,243.25,20.17
21.9,272.43,23.45
22.0,304.66,28.36
22.1,340.24,35.21
22.2,379.50,44.30
22.3,422.78,55.92
22.4,470.49,70.42
22.5,523.08,88.24
22.6,581.05,109.88
22.7,644.94,135.98
22.8,715.38,167.26
22.9,793.07,204.57
23.0,878.80,248.92
23.1,973.44,301.48
23.2,1078.01,363.60
23.3,1193.61,436.86
23.4,1321.53,523.07
23.5,1463.21,624.32
23.6,1620.27,743.04
23.7,1794.56,882.01
23.8,1988.18,1044.45
23.9,2203.49,1234.02
24.0,2443.18,1454.98
24.1,2710.31,1712.18
24.2,3008.33,2011.22
24.3,3341.18,2358.48
24.4,3713.31,2761.34
24.5,4129.79,3228.24
24.6,4596.38,3768.84
24.7,5119.61,4394.28
24.8,5706.90,5117.29
24.9,6366.70,5952.53
25.0,7108.58,6916.80
25.1,7943.45,8029.41
25.2,8883.70,9312.53
25.3,9943.42,10791.67
25.4,11138.65,12496.13
25.5,12487.63,14459.64
25.6,14011.12,16721.00
25.7,15732.75,19324.88
25.8,17679.44,22322.73
25.9,19881.83,25773.80
